119,Addax_nasomaculatus,Dasyprocta_leporina,Chaetophractus_villosus,Artibeus_jamaicensis,Asellia_tridens,Aonyx_cinerea,Papio_hamadryas,Cervus_elaphus,Aepyprymnus_rufescens,Vulpes_cana,Nannospalax_ehrenbergi,Tursiops_truncatus,Eulemur_fulvus,Capra_nubiana,Cebus_olivaceus,Hydrochoerus_hydrochaeris,Caracal_caracal,Carollia_perspicillata,Felis_catus,Sciurus_anomalus,Chaerephon_plicatus,Pan_troglodytes,Chinchilla_lanigera,Axis_axis,Colobus_guereza,Vulpes_vulpes,Erinaceus_concolor,Tupaia_glis,Bos_taurus,Myocastor_coypus,Cynopterus_brachyotis,Octodon_degus,Madoqua_kirkii,Equus_asinus,Eonycteris_spelaea,Eptesicus_fuscus,Dama_dama,Vulpes_zerda,Mustela_putorius,Rousettus_aegyptiacus,Giraffa_camelopardalis,Capra_aegagrus,Acomys_russatus,Gorilla_gorilla,Macropus_giganteus,Chlorocebus_aethiops,Lepus_timidus,Ursus_thibetanus,Hipposideros_armiger,Mellivora_capensis,Equus_caballus,Alouatta_caraya,Homo_sapiens,Hyaena_hyaena,Procavia_capensis,Axis_porcinus,Felis_chaus,Phascolarctos_cinereus,Lama_glama,Lemur_catta,Panthera_pardus,Lycaon_pictus,Macaca_fascicularis,Macaca_nigra,Macaca_silenus,Macaca_leonina,Mandrillus_sphinx,Lophocebus_albigena,Dolichotis_patagonum,Callithrix_pygmaea,Suricata_suricatta,Meriones_tristrami,Miniopterus_schreibersii,Herpestes_ichneumon,Mus_musculus,Myotis_emarginatus,Myotis_myotis,Myotis_vivesi,Nasua_nasua,Equus_hemionus,Pongo_abelii,Oryx_leucoryx,Lutra_lutra,Funambulus_pennantii,Pecari_tajacu,Pipistrellus_kuhlii,Hystrix_indica,Cynomys_ludovicianus,Pteropus_lylei,Oryctolagus_cuniculus,Rattus_norvegicus,Macropus_rufus,Macropus_parryi,Ailurus_fulgens,Rhinolophus_ferrumequinum,Rhinopoma_microphyllum,Felis_margarita,Hemiechinus_auritus,Ovis_aries,Symphalangus_syndactylus,Cavia_porcellus,Acomys_cahirinus,Saimiri_sciureus,Stenella_coeruleoalba,Sturnira_lilium,Tadarida_teniotis,Saguinus_oedipus,Saguinus_imperator,Saguinus_midas,Tapirus_terrestris,Eudorcas_thomsonii,Panthera_tigris,Desmodus_rotundus,Chlorocebus_pygerythrus,Microtus_guentheri,Sus_scrofa,Connochaetes_taurinus,Canis_lupus,Equus_burchellii
Addax_nasomaculatus,0.0,110.96400808569824,102.67413219892504,111.46656488354566,109.51452658541089,94.30015102069859,103.90041309992567,118.9197878832797,99.65143549233973,97.95782330675395,111.51258632532728,114.09673676993711,99.34236130433322,95.35705749413555,107.88054513136565,100.88173734103592,108.95077666649244,106.13306790711226,99.01637111173211,107.84103872344447,120.17817012482823,110.02430634746764,112.52943327193165,94.86125805541448,104.30279021748972,114.63886294021788,107.35400924040742,105.25855111385714,109.586725543055,108.71333287774422,112.82924044632654,106.36513770497908,99.23929232345812,116.61838350071882,110.57261720841502,115.64010469813499,95.80382793813021,100.03736670778353,98.77231876897913,105.22473988348072,112.41233388241324,98.88664466496293,112.67452104671888,114.84896599047998,105.10500739064929,106.66743396019572,99.72165254141083,105.89553984236574,116.76980476823333,100.24280124018921,116.22175474097352,111.31737160814757,103.33348949611259,96.78426076431015,94.8769634354512,94.98539743921367,101.28230011265728,123.30021142694864,113.17404755070771,97.15631642901772,101.63190460752855,96.6975297209877,105.96564443260185,104.4111023422023,112.70838945878593,114.82689569137695,108.03075222102643,106.483121953246,101.30427383143645,104.09040820992197,100.83528724685533,107.5780287447193,109.78176240167414,100.36689797436821,103.56702504086532,126.23877473572279,116.24050442948675,115.88479791770375,102.37247957306779,110.85140993547128,114.27284043712471,98.98899971729747,97.4925275250893,109.67335010704268,100.30628083234237,115.49620217337184,110.01722266788403,108.21412763882799,105.9507558095348,112.9943916597071,110.92550516742108,100.80942426129137,105.43495453904704,96.38388961149128,102.62538893093661,106.0214395846726,104.03071457586864,114.576982328663,101.85645616236553,112.33157408783345,107.37185707906389,113.8725534169647,109.38370064962015,111.25402103333462,114.17276331103521,114.29980667743474,101.9798128691192,103.83484714196067,115.47166914891059,109.86627015803546,90.35778944164615,112.13749021047734,110.5004146090373,98.23898666871456,109.64812233642381,97.49549684369693,103.78599327346929,102.62064576762607,117.19106215462072
Dasyprocta_leporina,110.96400808569824,0.0,117.06659493339113,117.19695342167851,119.10322404212991,102.93943512220605,112.63790359588882,113.58127200937719,106.83637806908833,104.2584146649326,111.9050503104766,116.6423857886635,104.86722367781461,105.41544828067082,109.16384186089853,94.38539367014025,107.24970670478953,110.37872921639561,105.51797039750475,116.72700200617203,117.35622716706686,115.0105979426875,106.39371663642112,109.10208451739148,113.20273749145528,111.98901837569137,110.50416072081958,99.83531696349854,116.52708019034982,101.3707331204873,110.9083868267644,103.22055612142142,105.06175289881679,113.01722414079036,109.40009776217589,116.68694478803067,110.4912530262268,101.79367807001884,108.62939861806473,103.41056977437805,110.57922560254617,108.11280132438078,106.26129285021747,114.34373842866484,111.5868677289528,109.48439931116995,97.43085731339593,118.05733661897654,112.9974039539166,107.44555376503459,113.0986838485052,112.60143448639383,113.7558441049664,110.98087670160292,104.60195625529346,101.36432197576701,110.3118326051873,114.17664812479896,111.3608286651874,106.73638510794757,110.50626932673971,108.18349973239869,112.06793319474559,107.6420300941046,115.54527073267599,112.34240452337204,113.04971657388435,112.41601867169564,95.61374009986577,106.14348352682714,105.94062922060236,106.05895079200438,112.6316772466368,115.72447863899808,106.96373932985736,134.9621757419641,113.7474826035153,109.23722941565725,111.4604290023749,114.36486725127222,116.27905775024438,108.2149838209548,105.4020357428446,108.79412992917983,109.70220894683129,122.15758439827881,103.06356337771547,100.89119146393168,100.8229706263087,118.65696815542036,108.61422964964304,109.01260919124786,110.37621099347686,108.5392834993834,114.01902517132456,106.42031848250784,110.79676885002188,110.75236577286113,108.01152631874851,110.10002404775004,101.94529295243063,111.27667753648683,111.16705591068705,117.95596556973916,113.78256952225115,113.99263891957952,108.29420221682528,109.30355383809476,108.77759794756369,110.36570384843792,106.0771114112988,115.20410745491712,114.30841043974452,114.50158468758721,111.42155492833955,110.2104579567969,115.70501953522273,107.16853779713627,114.94593542121744
Chaetophractus_villosus,102.67413219892504,117.06659493339113,0.0,111.47851891466914,82.29517043964941,100.65387913934651,115.49349267912176,114.91313716181,102.44133476585176,110.15872434640863,103.2759470323677,107.34807521253083,104.16787603334545,107.85071320830107,108.04370279401643,108.80789186720118,116.65982628830649,90.89402726580312,106.06935790340185,106.65317045924732,107.26387402689504,110.2521325856611,104.07463314578717,108.05145679397334,122.77128590308833,125.01461440700311,101.27474816585904,99.62758502144828,97.33509898042355,109.46337673660628,111.43410665831809,104.88255898989183,97.72986773902501,114.92368026531973,105.4465021102927,102.0013263608937,108.74937860531448,110.31708683477075,96.69960837451833,102.19401216851078,108.70206096562737,107.93160574414595,107.28820442183616,110.71704253562066,111.21848174081916,104.23914235600068,105.39274389794568,109.78016218386226,110.55827884009884,88.86572339885876,110.41659548815066,111.09516221420031,109.81880883720865,105.27660531922477,102.6081016519046,106.22274384658813,105.10460296678428,113.52360461977985,120.48565256080238,102.26400687977313,110.32716877232946,106.42967449550815,110.80862494857782,111.13481509378497,116.19717753662192,114.13882222534588,115.98909988356962,114.78820033352129,110.57266884847309,108.71146661931198,103.61904096321136,104.81889224599556,97.3285649781565,104.71253323360274,93.7469789801026,94.5349338476793,99.4302635001637,95.7653845209823,106.08446944750314,116.65334621823492,110.69312366269332,107.06525902287977,97.96357037069139,86.55688108649213,105.39930524293456,93.19523714913103,115.91837734789539,101.2032938388013,113.82290195026317,111.3681762158892,104.11609963793099,105.05734928411783,117.31920961744004,105.67894319185577,91.00854109431769,95.22830205797834,108.49841585457187,98.47062149768652,110.48781622865903,115.8466801769273,111.3429986630853,108.75887075830005,106.5997394614044,103.76210315094698,113.14578904090297,95.64010623752876,107.81078854301626,101.4494548725873,110.25482423269032,115.32088464978183,99.9290821017732,110.38366972554843,108.80498869580553,116.21863561826778,101.01654607934665,105.41019233071214,96.67606693917854,105.55065260600033,120.78835050038555
Artibeus_jamaicensis,111.46656488354566,117.19695342167851,111.47851891466914,0.0,121.77814264454645,113.33491571529004,120.01237229928567,124.61732903527653,104.41678440014789,111.31106593336011,108.80363546230969,120.70616512365088,110.72040966829063,112.73537214863364,116.84792790221172,118.6364806292252,116.80409886895325,99.45708602796009,112.65365653386061,122.43130037841983,110.43384636052137,124.08412612301092,106.22372136636685,116.30932925769254,113.74288855156686,117.76602740337049,107.50639808771223,112.44407301656571,113.78216831479126,114.60110994917565,112.03534956368755,106.07372059028236,110.62773280312558,122.0234395151431,105.21677959313585,114.16896024289535,114.91189066047666,107.54343956486588,107.19746400685156,107.206837380125,122.57140942725836,112.86718898167457,112.51652517836116,118.82473301221727,117.85917205790119,114.19580947756701,108.27419753350412,123.62127004396868,113.36065250139272,112.00935042346258,120.4656044459971,109.9443492078691,119.45447871924168,110.88719086655195,109.92742420859673,103.80547616492463,101.85196364024708,111.86791548041907,123.28467754657007,115.96765896473056,117.03786005944211,114.65504214313279,117.76405443322554,118.70139039104484,121.73573829840639,118.91556105055875,111.30074888379144,116.83848774599298,112.01820646562435,110.75245264441135,110.43791150023476,105.3653348227956,105.00530821812654,115.74600203546206,110.10495616683394,136.5213520704067,108.7752738805167,121.32922645288222,116.57242136876852,122.23321183758334,122.03324760651049,114.62706125292402,111.69875628610669,105.43688145901062,115.86559097750133,125.26241012473977,117.33060736841617,102.71902077633632,110.1088709170227,118.76753056598957,110.6766032212123,112.91736742781177,111.7462472973097,119.16488715165778,117.1957692856604,105.80938469580263,108.10649720386074,114.14373523820116,113.97026229242303,112.94963968293682,110.70680673357099,104.09306144863729,115.49033377621865,127.8583570221008,95.42030745033517,114.34904520439804,119.25072070059836,117.1589074368824,108.11266492823059,119.67127567995584,112.99940902462647,122.6326526812621,104.43026883169841,113.55342754816215,104.53381932043405,112.36249502291695,116.70013083379831,114.0138849383364,113.45057004786096
Asellia_tridens,109.51452658541089,119.10322404212991,82.29517043964941,121.77814264454645,0.0,92.65565922837699,116.28454628966487,106.58922838277807,106.19947269471083,109.03995160688201,107.46223929178541,96.37932676735923,106.77047928236063,108.28944000535189,106.51017501108707,111.8947897405674,114.24968926544231,91.76812438792389,108.8748167902907,111.41716159392612,108.3820805873236,113.06716734281291,100.63333961665627,112.14191131205723,121.53105130359654,124.83248422469644,104.50723504929425,105.52517365734558,101.9634946919382,113.60339812251749,112.34871581981591,103.08646400146074,101.9061555424125,120.25200624865009,109.1894895951516,99.09570541309714,112.55517107556678,107.44192406303706,93.0640080973376,105.92733141484052,105.17275317407707,108.23932537340998,113.49262046806524,103.42499347040739,119.02167301676627,101.54369832839822,108.1161820916556,105.83003992942707,114.87626256640115,90.51842683362258,104.80827175428416,113.96786415869278,108.49653020899186,109.73327169287008,103.57364598122976,113.44191756495087,107.17914468565925,119.21322442125368,112.67495024147169,104.48487896164465,110.53191191330757,110.91908003318856,114.45453120645757,109.76640283493674,115.7041637942094,115.27696430798738,118.28970422678375,111.68651271382308,110.88270532105355,110.63564926011941,104.74291125864832,111.90692347081236,88.68404649043514,103.58140781179958,102.61763482739566,76.78976833556095,93.0870108419291,97.31014414153762,105.8551529150079,121.27065190611094,106.98411701213728,106.71637170266997,97.21859150357932,86.84947839599188,111.97137462109296,81.94129313416168,115.68380742829787,104.32140288783543,121.1968737786255,107.89704300855082,110.16456931982721,109.97803229638669,117.80050918668778,113.03740158873411,84.33409024448899,97.25283234584676,113.78477782261939,102.65128699846622,104.33784723540779,110.16849663787058,114.95610549361409,116.54457199484708,108.76434625193491,98.2649928545703,117.44168193362057,95.01789613264552,110.15016867698904,98.23415233704642,111.11120043787022,115.03748361510992,108.54582528872126,102.18343817511368,110.42774787607135,113.50449310761988,106.59114145127714,110.48980063144256,100.30737046955079,110.46102345743321,120.21308270272405
Aonyx_cinerea,94.30015102069859,102.93943512220605,100.65387913934651,113.33491571529004,92.65565922837699,0.0,104.22757485091441,97.5502812888044,106.13192317131562,90.07711488774041,101.327371856377,102.80895140359411,91.33912367275957,98.57152776332427,99.48429986771629,94.02254469001744,99.66166255390628,92.54898519367147,95.07019913216574,105.39261151935384,107.4678638001364,101.21103447629108,100.70503370062474,103.70959037989394,100.12775592899268,107.20628385613232,100.43825619245963,101.67118818698889,102.69859475563467,103.99629773445756,99.57523326418324,100.29825088828275,84.0295210176916,102.90136331197071,101.70002735068702,101.82111089587119,100.68343784811351,85.0990771771927,88.36611051230119,100.16875103928153,96.39325014332299,99.56675121364314,107.4236929891975,98.37848995226992,114.31417688499445,95.90382243919814,100.86169246825276,99.86946987633786,102.06779479919436,88.65517051194846,97.77857616665987,102.31606714385532,97.34680538743416,94.36266768128979,98.49256998803702,94.81713336470202,93.674781733685,105.78320332957684,105.45361975744365,91.17164070392369,97.49789233581888,96.39372544308817,101.03650531207117,89.46982747908484,107.4573544587063,105.93945378788146,106.21458875211323,98.19776472957791,99.4600846367527,101.46518836073024,90.9953851081997,103.72367391270113,96.2292864019384,103.06316661320282,104.73971835651787,110.5710760595612,99.53637910129198,107.24469963882866,88.14766161017498,109.64231405909777,101.79855821840245,95.88849667914853,84.65210811338072,94.75747781717486,98.05591016821943,100.65481884971418,103.9308448092736,93.50807177632792,99.73431223948634,110.14297764671718,103.77053630619362,98.60481407196089,109.8101873614735,102.93217108988614,94.50419509832196,93.07423018278361,97.7585968401055,95.04801539927858,98.87591419429472,100.77875471397722,104.78564028488287,108.21259091844072,102.70232741406902,103.95155770413871,109.18060354945968,101.4570184302391,101.880662861709,102.72551336197154,97.46300176553031,97.4641531352838,97.09813773461283,102.47008599453405,110.1711357597137,105.09016415062817,98.11177295106992,97.11326983569869,99.43440980410728,95.58500535105361,109.22270261999633
Papio_hamadryas,103.90041309992567,112.63790359588882,115.49349267912176,120.01237229928567,116.28454628966487,104.22757485091441,0.0,112.07109163942394,111.32514909911514,104.24100165860861,114.69533416636148,109.98190485393042,102.23242157078533,108.82836733762962,94.5500040461108,104.26105122144753,111.9085708730696,105.47903539999658,105.42983077165754,110.96116350604977,115.86373477986194,107.67469383907627,109.98533317660744,113.36376108039155,96.85592428043473,117.24308270559949,111.91574136327245,112.05712934074083,117.85244266959629,108.75117642324147,113.58595804560429,112.74566326256615,102.76415389855799,108.5558779732064,114.37425287339929,118.7545994726925,110.85207550217467,100.6531806872398,106.07254314398158,109.27064209002144,112.50708378880485,108.55449748714831,121.56700093941545,105.5994257248856,109.93499483773363,108.39337551547762,112.87422865661756,107.6064668958837,119.85024263295864,105.36610116780972,109.5744969743342,105.16052819508948,101.59211382989483,105.48167277463378,105.21556029937986,104.09826242471533,108.04576507126183,116.46986919791146,110.99051881868343,100.51222837525435,106.01237129336766,101.84980496815427,96.42750244900546,90.24903441725802,109.54078770028977,90.28197243593252,92.50133319650772,92.03835556568467,105.36049384713881,101.36326361138558,106.7205694493131,112.74087059722072,115.90363988463885,108.19272076974214,116.53396804862263,131.26236711211646,110.54636808800169,112.7664393379246,106.2759349340691,110.67815163210751,106.74189398330527,105.75939139140827,104.59486507150439,112.16808821559817,108.05372207798368,120.13032854766968,111.7596696413284,108.71476815329405,106.86669352226718,115.48980671205535,116.64165552418916,105.49759071131359,113.484790463662,101.73359081687705,109.76416374689721,109.50190033517457,106.43634147275237,114.39696952300926,109.39816161372265,104.55120190792155,111.83621841074105,119.16695274240674,102.27969009921614,114.77962951813063,114.18131991232792,117.67688259197215,102.95349978899608,104.90552887081569,106.86110499196253,108.68926349052676,104.54350426635489,111.72716845699298,114.28190645376361,94.37714457720602,112.90142950258318,105.63710989331031,108.68886508320114,104.1558784051763,111.19230233510628
Cervus_elaphus,118.9197878832797,113.58127200937719,114.91313716181,124.61732903527653,106.58922838277807,97.5502812888044,112.07109163942394,0.0,115.36327508697988,105.90603060435058,114.66979321191539,97.34150328480806,108.87274820585914,113.1508289378695,108.88525289805305,110.01649077226199,106.78822926124542,113.23666780388376,114.03515160716192,111.54430259374283,115.56361703372562,106.74388025906077,119.1945121901478,119.42035832477612,108.197283975579,107.55323488765842,112.0405320852572,114.51915396134935,94.55058862216853,116.64397002275393,110.99067618742284,106.72921143227363,104.12950623831762,102.92414117774202,115.06614023498321,119.88240717902528,114.81676630542127,107.21109570662095,108.48941181971358,115.66596039004483,99.40737741126554,115.12644124612105,118.78215439881706,102.14306215253634,120.98259893553981,107.78998371935049,114.95006188976114,104.18329625925577,118.07944712851328,110.13799999773985,91.4376730621176,110.50526259755259,102.91932070262745,111.1365328965536,111.88514408208783,111.69264534978113,116.18436577374155,121.93272553719558,99.13199957203153,106.79651929865616,106.46654058212295,110.64971249321043,110.66235719649218,103.66040586699825,110.69854878995177,105.96156195929044,116.64652175952213,115.31695266026486,112.28751351293838,110.1523262897924,110.18677237535152,116.93980944114557,110.56986712089764,112.66897354660597,116.25784051898859,125.65386160016034,111.71749020716956,117.84686085300274,104.77037355400269,105.57442331485578,99.43718382130339,112.4961793343623,107.14707274997743,109.20833738884508,114.81550329097497,113.93613231681579,112.65103948121846,113.95346822524006,110.18975781025907,110.98293715288625,117.67674525383522,114.50005405890198,122.84295938604416,111.5004583136255,112.96714672055523,112.04319826734081,114.80574058546614,111.19728073530902,102.91229140713628,112.38648286445755,121.13366766716635,124.13006917277382,108.5639421153588,106.70850793020738,121.92847127088028,114.40660330555284,112.35276699158796,108.71298816680064,110.90701694329036,111.74757495815531,114.6427283870618,102.46924825370685,119.24003317476979,117.23651788450431,111.01353204216872,114.42461043898874,98.19982646815829,112.72660636458345,99.53923499792486
Aepyprymnus_rufescens,99.65143549233973,106.83637806908833,102.44133476585176,104.41678440014789,106.19947269471083,106.13192317131562,111.32514909911514,115.36327508697988,0.0,100.11584177105486,109.30894935025975,113.69683561522008,101.2953956876205,102.35662737954887,103.3760501863315,103.24171001044125,109.26797458517336,99.95589985530034,100.7036137378225,109.55251117942923,110.92013719323378,111.41355121893274,106.29320522158399,105.49314874761181,108.12010168624136,114.33912729609987,104.97664700527507,102.70520275823861,111.46120279728126,106.48173124480778,110.27605215104066,100.68003643246142,99.71232465972507,111.4634467397396,108.34525037367851,107.49929293889025,104.69810350038496,102.07873607032391,99.55892512914133,103.82869221846408,112.97605881750003,103.3900793768763,108.78654315883605,113.15966879000004,101.77584012217159,111.08095914363466,99.84391158073319,112.57613075698386,109.27727020255381,100.73391841650249,113.69711135026944,110.35334006885934,108.22710334231836,102.99186146487193,100.32783107662686,99.37989843248613,103.15603985850248,111.1009749278726,112.62931516967741,102.44638801242533,104.97617961698606,102.80665524782717,107.06387985430113,105.50024617804024,112.76321052830548,111.15016440677265,108.95384794448212,103.08232884362435,106.16710625239817,106.11051071263934,99.45321780411322,104.88486593917773,106.98985574849031,104.27362725862835,101.17311451621875,122.41985871237453,106.71636881645776,106.88848139794692,107.30146077896217,112.8265435976505,112.29731101371867,105.19156852804299,100.30038009700324,100.66553328403393,105.62703873666277,113.07373849132652,107.45724408769564,102.00022077212863,99.16820885545225,109.1741266559429,105.90208546030847,98.85959944825777,101.69424730214574,105.79443951924837,109.2600887438212,104.45644495452635,101.60646791939041,105.57635723636605,107.74617568638605,109.06281785282951,105.05979234784868,111.41419937882478,108.63750206722011,112.58081544751545,115.77206853034193,111.1685873131095,107.04446169699176,102.53987897762264,112.40053042483862,108.151906282145,99.22563407379967,110.61794462137426,103.35373537231766,103.57175607379747,100.70577183695664,103.6315689380272,108.11182070087827,103.96031835981255,112.82416291168967
Vulpes_cana,97.95782330675395,104.2584146649326,110.15872434640863,111.31106593336011,109.03995160688201,90.07711488774041,104.24100165860861,105.90603060435058,100.11584177105486,0.0,107.88049518350527,105.77753833937905,91.01828023644721,98.77731246832434,99.58349403190009,94.37315109349099,96.83503418255631,104.76366293501724,95.13766072292594,100.57354098622501,111.58114599026146,100.16515064280179,109.70158938625715,100.76821227085986,100.79179511942465,107.47965261022571,100.7956742148052,101.21662298622218,105.42462350012212,104.48888142084802,106.25988850028403,103.66714760800372,92.12172206716143,104.94623690185577,104.15142418730713,113.14961183236946,99.5424097045211,93.89133324357284,95.61618186745577,105.96011261134349,106.44715664287112,100.48449148484228,112.23778726313448,108.36055252088983,108.83388084351202,103.11084999890285,104.28337113557052,106.68156307159506,112.38412828415301,98.34746455134002,104.14891330009968,105.57333000599024,102.59661964904213,96.24536702795379,96.79915961676085,92.07104977888682,101.6888092476815,107.23492060652507,105.85485450390246,92.0891437529417,97.04496327117135,95.32480659962557,104.73214225386448,95.15016022074175,101.83033034781448,108.72016575407395,107.58159176884618,100.46637892726088,103.82806159042899,104.35000161422973,90.95497511266998,104.05213590433769,104.20093520352725,101.90786297086922,107.46899826530704,125.71642250413083,105.62126910280736,112.81714100362282,94.85667471102131,113.11609633354036,111.20981412957349,103.55354230217573,94.3128457327992,103.95899492142752,100.953545565123,113.86654946588129,107.48418296034859,100.13664372113084,98.12616385031806,115.14244303878397,110.18729763737537,100.89668053340763,103.97475647479443,102.4743340749599,108.70812518462122,108.98464693031107,97.45593316426792,100.50244252205654,102.2454914988088,99.04353979491208,101.57835835132174,116.98487832082787,106.16864110152405,112.57234054672179,117.1401227763598,108.77489793523539,105.8243255705899,102.05598703875361,99.62564791449408,106.62464142245824,90.4876163682819,109.718825778906,103.5554801229206,104.55772040575437,105.39289551201907,101.0504024676215,103.36638175765901,100.26300193032414,105.97950400378902
