Common_name,Species,Family,Order
Addax,Addax_nasomaculatus,Bovidae,Artiodactyla
Agouti,Dasyprocta_leporina,Dasyproctidae,Rodentia
Armadillo,Chaetophractus_villosus,Chlamyphoridae,Cingulata
ArtibeusJamacien,Artibeus_jamaicensis,Phyllostomidae,Chiroptera
Asellia,Asellia_tridens,Hipposideridae,Chiroptera
AsianOtter,Aonyx_cinerea,Mustelidae,Carnivora
Baboon,Papio_hamadryas,Cercopithecidae,Primates
BactrianDeer,Cervus_elaphus,Cervidae,Artiodactyla
Battongia,Aepyprymnus_rufescens,Potoroidae,Diprotodontia
BlanfordFox,Vulpes_cana,Canidae,Carnivora
BlindMole,Nannospalax_ehrenbergi,Spalacidae,Rodentia
BottleNoseDolphin,Tursiops_truncatus,Delphinidae,Artiodactyla
BrownLemur,Eulemur_fulvus,Lemuridae,Primates
CapraNubiana,Capra_nubiana,Bovidae,Artiodactyla
Capuchin,Cebus_olivaceus,Cebidae,Primates
Capybara,Hydrochoerus_hydrochaeris,Caviidae,Rodentia
Caracal,Caracal_caracal,Felidae,Carnivora
CarolliaPerspicilatta,Carollia_perspicillata,Phyllostomidae,Chiroptera
Cat,Felis_catus,Felidae,Carnivora
CaucasianSquirrel,Sciurus_anomalus,Sciuridae,Rodentia
ChaerephonPlicata,Chaerephon_plicatus,Molossidae,Chiroptera
Chimpanzee,Pan_troglodytes,Hominidae,Primates
Chinchila,Chinchilla_lanigera,Chinchillidae,Rodentia
Chital,Axis_axis,Cervidae,Artiodactyla
Colobus,Colobus_guereza,Cercopithecidae,Primates
CommonFox,Vulpes_vulpes,Canidae,Carnivora
CommonHedgeHog,Erinaceus_concolor,Erinaceidae,Eulipotyphla
CommonTreeShrew,Tupaia_glis,Tupaiidae,Scandentia
Cow,Bos_taurus,Bovidae,Artiodactyla
Coypu,Myocastor_coypus,Echimyidae,Rodentia
Cynnopterus,Cynopterus_brachyotis,Pteropodidae,Chiroptera
Dego,Octodon_degus,Octodontidae,Rodentia
DikDik,Madoqua_kirkii,Bovidae,Artiodactyla
Donkey,Equus_asinus,Equidae,Perissodactyla
Eonycteris,Eonycteris_spelaea,Pteropodidae,Chiroptera
Eptesicus,Eptesicus_fuscus,Vespertilionidae,Chiroptera
FallowDeer,Dama_dama,Cervidae,Artiodactyla
FennekFox,Vulpes_zerda,Canidae,Carnivora
Ferret,Mustela_putorius,Mustelidae,Carnivora
FruitBat,Rousettus_aegyptiacus,Pteropodidae,Chiroptera
Giraffe,Giraffa_camelopardalis,Giraffidae,Artiodactyla
Goat,Capra_aegagrus,Bovidae,Artiodactyla
GoldenSpinyMouse,Acomys_russatus,Muridae,Rodentia
Gorilla,Gorilla_gorilla,Hominidae,Primates
GrayKangaroo,Macropus_giganteus,Macropodidae,Diprotodontia
GreenMonkey,Chlorocebus_aethiops,Cercopithecidae,Primates
